fecha;producto;categoria;precio;metodo_pago;tipo_envio;satisfaccion;edad_cliente
2025-03-05;Motorola Edge 40;Smartphones;4090000;PayPal;Servientrega;2;20
2025-01-26;Motorola Edge 40;Smartphones;2240000;Efectivo;Recogida en tienda;5;70
2024-12-12;Samsung Odyssey G7;Monitores;2310000;Nequi/DaviPlata;Servientrega;2;40
2025-12-05;Cargador GaN 100W;Accesorios;240000;Efectivo;Recogida en tienda;4;47
2025-01-14;Monitor Portátil Arzopa;Monitores;2430000;Tarjeta Credito;Express;4;48
2025-01-11;Xiaomi 13T;Smartphones;2850000;PayPal;Express;5;69
2025-07-31;Hub USB-C Anker;Accesorios;440000;Tarjeta Debito;Express;4;47
2025-11-15;Samsung Galaxy S24 Ultra;Smartphones;3520000;Tarjeta Debito;Express;5;43
2025-08-27;Dell UltraSharp U2723QE;Monitores;2900000;Tarjeta Debito;Recogida en tienda;5;60
2025-10-12;Xiaomi 13T;Smartphones;2050000;Nequi/DaviPlata;Express;4;22
2025-01-26;Echo Dot 5th Gen;Altavoces;780000;PayPal;Express;4;29
2025-06-15;Lenovo ThinkPad X1;Laptops;6190000;PayPal;Express;5;52
2024-12-20;iPhone 15 Pro;Smartphones;3570000;PayPal;Express;4;55
2025-02-06;Hub USB-C Anker;Accesorios;380000;PayPal;Recogida en tienda;4;46
2025-06-03;JBL Flip 6;Altavoces;1260000;PayPal;Express;5;45
2025-01-27;Cargador GaN 100W;Accesorios;430000;Tarjeta Debito;Servientrega;4;56
2025-05-02;Webcam Logitech C920;Accesorios;160000;Tarjeta Debito;Recogida en tienda;5;70
2025-01-24;JBL Flip 6;Altavoces;1680000;Tarjeta Credito;Recogida en tienda;4;38
2025-12-02;Google Pixel 8;Smartphones;2400000;PayPal;Express;4;67
2025-04-02;iPhone 15 Pro;Smartphones;4280000;Tarjeta Credito;Express;5;62
2025-08-27;Sonos One;Altavoces;720000;Tarjeta Debito;Express;5;38
2025-08-27;Hub USB-C Anker;Accesorios;430000;PayPal;Servientrega;4;20
2025-04-02;Monitor Portátil Arzopa;Monitores;3470000;PayPal;Express;5;19
2025-03-18;Samsung Odyssey G7;Monitores;2500000;PayPal;Recogida en tienda;4;18
2025-08-04;Samsung Odyssey G7;Monitores;1510000;Efectivo;Recogida en tienda;4;41
2025-04-24;MacBook Pro 16;Laptops;4510000;Tarjeta Credito;Servientrega;3;34
2025-08-12;Xiaomi 13T;Smartphones;5650000;PayPal;Servientrega;4;64
2025-03-23;LG UltraGear 27;Monitores;1760000;Tarjeta Debito;Recogida en tienda;4;52
2025-07-08;Sonos One;Altavoces;1060000;Efectivo;Servientrega;3;27
2025-03-31;Sonos One;Altavoces;640000;Tarjeta Credito;Recogida en tienda;4;41
2025-04-14;Monitor Portátil Arzopa;Monitores;3390000;PayPal;Recogida en tienda;4;60
2025-09-10;Echo Dot 5th Gen;Altavoces;1680000;Nequi/DaviPlata;Express;5;33
2025-10-24;Samsung Galaxy S24 Ultra;Smartphones;2600000;Tarjeta Credito;Recogida en tienda;4;52
2025-02-17;Samsung Odyssey G7;Monitores;3100000;Tarjeta Debito;Express;5;62
2025-03-19;Monitor Portátil Arzopa;Monitores;1410000;Nequi/DaviPlata;Recogida en tienda;5;40
2025-11-02;Motorola Edge 40;Smartphones;3210000;Efectivo;Servientrega;3;35
2025-06-05;Asus ROG Zephyrus;Laptops;6780000;PayPal;Servientrega;4;50
2025-10-28;Samsung Galaxy S24 Ultra;Smartphones;3620000;Tarjeta Credito;Recogida en tienda;4;36
2025-11-16;Webcam Logitech C920;Accesorios;370000;Efectivo;Express;5;42
2025-03-11;Hub USB-C Anker;Accesorios;380000;Tarjeta Debito;Recogida en tienda;4;67
2025-01-28;HP Spectre x360;Laptops;7090000;Tarjeta Credito;Servientrega;4;28
2025-07-11;Teclado Keychron K2;Accesorios;160000;Tarjeta Credito;Servientrega;5;34
